axis,axis_name,level,unit,success_rate,collision_rate,timeout_rate,avg_reward,reward_std,avg_steps,episodes
gaussian,高斯球稀疏化,100,%,68.0,32.0,0.0,369.72821748765244,167.54331571046004,61.794117647058826,50
gaussian,高斯球稀疏化,50,%,72.0,28.000000000000004,0.0,380.1478872850883,161.95264237418132,61.388888888888886,50
gaussian,高斯球稀疏化,25,%,64.0,36.0,0.0,355.84276252325367,183.71617978580423,62.78125,50
gaussian,高斯球稀疏化,10,%,70.0,30.0,0.0,371.63789122891353,167.76883506285844,61.68571428571428,50
gaussian,高斯球稀疏化,5,%,68.0,32.0,0.0,362.12916929665175,183.56005587888305,63.64705882352941,50
resolution,渲染分辨率,64,px,66.0,34.0,0.0,361.6747576224114,170.87948959884332,61.78787878787879,50
resolution,渲染分辨率,32,px,62.0,34.0,4.0,316.67725562485424,238.9223939986374,67.70967741935483,50
resolution,渲染分辨率,16,px,56.00000000000001,40.0,4.0,300.6895186512105,240.22680456133764,67.64285714285714,50
resolution,渲染分辨率,8,px,52.0,46.0,2.0,303.70535506620763,205.82932555971007,64.88461538461539,50
resolution,渲染分辨率,4,px,56.00000000000001,44.0,0.0,330.375867029103,186.1371465702467,63.107142857142854,50
depth_noise,深度噪声,0.0,σ,68.0,32.0,0.0,369.72821748765244,167.54331571046004,61.794117647058826,50
depth_noise,深度噪声,0.01,σ,66.0,34.0,0.0,364.02891070698024,169.3717021106766,61.81818181818182,50
depth_noise,深度噪声,0.05,σ,72.0,28.000000000000004,0.0,380.2063574748003,161.82587397706806,61.27777777777778,50
depth_noise,深度噪声,0.1,σ,70.0,30.0,0.0,374.21810627076115,165.66737229683352,61.57142857142857,50
depth_noise,深度噪声,0.2,σ,68.0,32.0,0.0,367.1743430755157,165.13431384012995,62.705882352941174,50
lighting,光照偏移,0,EV,68.0,32.0,0.0,369.72821748765244,167.54331571046004,61.794117647058826,50
lighting,光照偏移,1,EV,68.0,32.0,0.0,369.72821748765244,167.54331571046004,61.794117647058826,50
lighting,光照偏移,2,EV,68.0,32.0,0.0,369.72821748765244,167.54331571046004,61.794117647058826,50
lighting,光照偏移,3,EV,68.0,32.0,0.0,369.72821748765244,167.54331571046004,61.794117647058826,50
lighting,光照偏移,4,EV,68.0,32.0,0.0,369.72821748765244,167.54331571046004,61.794117647058826,50
viewpoint,视角覆盖,360,°,68.0,32.0,0.0,369.72821748765244,167.54331571046004,61.794117647058826,50
viewpoint,视角覆盖,270,°,74.0,26.0,0.0,383.7360333001402,162.32300933627334,61.62162162162162,50
viewpoint,视角覆盖,180,°,72.0,18.0,10.0,247.70031695051395,441.1933804050084,68.11111111111111,50
viewpoint,视角覆盖,90,°,72.0,18.0,10.0,174.617292853187,528.9462210621222,89.75,50
viewpoint,视角覆盖,45,°,68.0,16.0,16.0,124.85902335915202,614.0927189444634,70.08823529411765,50
