axis,axis_name,level,unit,success_rate,collision_rate,timeout_rate,avg_reward,reward_std,avg_steps,episodes
gaussian,高斯球稀疏化,100,%,60.0,40.0,0.0,316.6924690270429,199.36303490739854,58.833333333333336,10
gaussian,高斯球稀疏化,50,%,60.0,40.0,0.0,317.284116497429,199.20622768823654,58.666666666666664,10
gaussian,高斯球稀疏化,20,%,60.0,40.0,0.0,317.38685942800817,197.4898012876836,59.0,10
gaussian,高斯球稀疏化,5,%,60.0,40.0,0.0,317.08950037375723,197.54837867990926,58.833333333333336,10
gaussian,高斯球稀疏化,2,%,60.0,40.0,0.0,317.37323952248397,197.40517453194357,58.666666666666664,10
resolution,渲染分辨率,64,px,60.0,40.0,0.0,316.6924690270429,199.36303490739854,58.833333333333336,10
resolution,渲染分辨率,32,px,60.0,40.0,0.0,321.84596078201173,197.9076923305046,57.666666666666664,10
resolution,渲染分辨率,16,px,60.0,40.0,0.0,322.4758244785177,198.32307952807747,57.666666666666664,10
resolution,渲染分辨率,8,px,60.0,40.0,0.0,322.33253121538957,198.74263210126554,57.833333333333336,10
resolution,渲染分辨率,2,px,40.0,60.0,0.0,245.9492607275256,229.58992640717622,63.5,10
depth_noise,深度噪声,0.0,σ,60.0,40.0,0.0,316.6924690270429,199.36303490739854,58.833333333333336,10
depth_noise,深度噪声,0.1,σ,60.0,40.0,0.0,317.05856903365975,199.80353948009844,58.666666666666664,10
depth_noise,深度噪声,0.25,σ,60.0,40.0,0.0,317.23555702847733,199.57366024347792,58.666666666666664,10
depth_noise,深度噪声,0.5,σ,60.0,40.0,0.0,316.7128903519891,197.94375724093481,59.0,10
depth_noise,深度噪声,1.0,σ,60.0,40.0,0.0,317.98221899867826,198.09411231037083,58.666666666666664,10
lighting,光照偏移,0,EV,60.0,40.0,0.0,316.6924690270429,199.36303490739854,58.833333333333336,10
lighting,光照偏移,1,EV,60.0,40.0,0.0,316.6924690270429,199.36303490739854,58.833333333333336,10
lighting,光照偏移,2,EV,60.0,40.0,0.0,316.6924690270429,199.36303490739854,58.833333333333336,10
lighting,光照偏移,3,EV,60.0,40.0,0.0,316.6924690270429,199.36303490739854,58.833333333333336,10
lighting,光照偏移,4,EV,60.0,40.0,0.0,316.6924690270429,199.36303490739854,58.833333333333336,10
viewpoint_uncertainty,视角不确定性,360,°,60.0,40.0,0.0,316.6924690270429,199.36303490739854,58.833333333333336,10
viewpoint_uncertainty,视角不确定性,270,°,60.0,40.0,0.0,316.72272561833984,199.6883106433777,58.5,10
viewpoint_uncertainty,视角不确定性,180,°,60.0,40.0,0.0,317.0644896033734,197.91272556153132,58.666666666666664,10
viewpoint_uncertainty,视角不确定性,90,°,60.0,40.0,0.0,317.6548679085742,197.9384508908655,58.5,10
viewpoint_uncertainty,视角不确定性,45,°,50.0,50.0,0.0,285.2396736100091,197.53624802678453,60.6,10
