variant,episodes_per_level,depth_scale,successes,episodes,success_rate,ci95_low,ci95_high,collision_rate,timeout_rate
clean_best,300,1.0,221,300,73.6667,68.41,78.33,22.0000,4.3333
clean_best,300,0.75,216,300,72.0000,66.67,76.78,24.3333,3.6667
clean_best,300,0.5,207,300,69.0000,63.55,73.97,28.3333,2.6667
clean_best,300,0.25,195,300,65.0000,59.44,70.18,27.0000,8.0000
clean_best,300,0.1,217,300,72.3333,67.01,77.09,24.0000,3.6667
final,300,1.0,210,300,70.0000,64.59,74.91,30.0000,0.0000
final,300,0.75,218,300,72.6667,67.36,77.40,27.3333,0.0000
final,300,0.5,213,300,71.0000,65.63,75.84,29.0000,0.0000
final,300,0.25,226,300,75.3333,70.16,79.87,24.3333,0.3333
final,300,0.1,231,300,77.0000,71.91,81.40,22.6667,0.3333
robust_best,600,1.0,467,600,77.8333,74.34,80.97,22.0000,0.1667
robust_best,600,0.75,473,600,78.8333,75.39,81.91,20.8333,0.3333
robust_best,600,0.5,462,600,77.0000,73.47,80.19,22.8333,0.1667
robust_best,600,0.25,455,600,75.8333,72.25,79.09,23.6667,0.5000
robust_best,600,0.1,456,600,76.0000,72.42,79.25,22.5000,1.5000
