axis,axis_name,level,unit,success_rate,collision_rate,timeout_rate,avg_reward,reward_std,avg_steps,episodes
gaussian,高斯球稀疏化,100,%,68.0,32.0,0.0,368.3879846660782,177.91292451794308,58.55882352941177,50
gaussian,高斯球稀疏化,50,%,68.0,32.0,0.0,369.6710912037974,178.24623551605092,57.970588235294116,50
gaussian,高斯球稀疏化,20,%,66.0,34.0,0.0,365.52653881128697,181.46913302886347,57.42424242424242,50
gaussian,高斯球稀疏化,5,%,70.0,30.0,0.0,376.03775798273523,173.6712727089243,57.714285714285715,50
gaussian,高斯球稀疏化,2,%,68.0,32.0,0.0,372.7329034223907,176.40813002981656,56.970588235294116,50
resolution,渲染分辨率,64,px,68.0,32.0,0.0,368.3879846660782,177.91292451794308,58.55882352941177,50
resolution,渲染分辨率,32,px,66.0,34.0,0.0,367.0650416416836,187.00182636787832,57.484848484848484,50
resolution,渲染分辨率,16,px,68.0,32.0,0.0,373.74640491715394,182.7089112555385,57.294117647058826,50
resolution,渲染分辨率,8,px,68.0,32.0,0.0,373.3525059306769,182.98593407167294,57.38235294117647,50
resolution,渲染分辨率,2,px,62.0,38.0,0.0,350.95162561105894,199.98970462128284,58.903225806451616,50
depth_noise,深度噪声,0.0,σ,68.0,32.0,0.0,368.3879846660782,177.91292451794308,58.55882352941177,50
depth_noise,深度噪声,0.1,σ,68.0,32.0,0.0,369.801004420922,178.50596454501436,57.85294117647059,50
depth_noise,深度噪声,0.25,σ,68.0,32.0,0.0,369.774065496505,178.17358603489245,57.85294117647059,50
depth_noise,深度噪声,0.5,σ,70.0,30.0,0.0,376.12048305823737,173.98786246027726,57.68571428571428,50
depth_noise,深度噪声,1.0,σ,68.0,32.0,0.0,371.78110081456316,178.06710375609237,57.14705882352941,50
lighting,光照偏移,0,EV,68.0,32.0,0.0,368.3879846660782,177.91292451794308,58.55882352941177,50
lighting,光照偏移,1,EV,68.0,32.0,0.0,368.3879846660782,177.91292451794308,58.55882352941177,50
lighting,光照偏移,2,EV,68.0,32.0,0.0,368.3879846660782,177.91292451794308,58.55882352941177,50
lighting,光照偏移,3,EV,68.0,32.0,0.0,368.3879846660782,177.91292451794308,58.55882352941177,50
lighting,光照偏移,4,EV,68.0,32.0,0.0,368.3879846660782,177.91292451794308,58.55882352941177,50
viewpoint_uncertainty,视角不确定性,360,°,68.0,32.0,0.0,368.3879846660782,177.91292451794308,58.55882352941177,50
viewpoint_uncertainty,视角不确定性,270,°,70.0,30.0,0.0,375.3487267835647,171.4421144718363,58.34285714285714,50
viewpoint_uncertainty,视角不确定性,180,°,70.0,30.0,0.0,376.0919353521827,173.79257600777984,57.542857142857144,50
viewpoint_uncertainty,视角不确定性,90,°,68.0,32.0,0.0,371.5648132143269,178.13576547826872,57.05882352941177,50
viewpoint_uncertainty,视角不确定性,45,°,66.0,34.0,0.0,365.82400407275804,180.25220370380916,57.27272727272727,50
