axis,axis_name,level,unit,success_rate,collision_rate,timeout_rate,avg_reward,reward_std,avg_steps,episodes
depth_failure,深度大面积失效,0,%,60.0,40.0,0.0,316.6924690270429,199.36303490739854,58.833333333333336,10
depth_failure,深度大面积失效,25,%,60.0,40.0,0.0,316.36963116850814,197.62178453814798,59.166666666666664,10
depth_failure,深度大面积失效,50,%,60.0,40.0,0.0,318.3345020030681,197.29880111821484,58.833333333333336,10
depth_failure,深度大面积失效,75,%,50.0,50.0,0.0,283.0030142010025,234.00143036629396,60.8,10
depth_failure,深度大面积失效,90,%,60.0,40.0,0.0,319.2092746781612,198.42803142463245,58.333333333333336,10
occlusion,相机遮挡,0,%,60.0,40.0,0.0,316.6924690270429,199.36303490739854,58.833333333333336,10
occlusion,相机遮挡,25,%,60.0,40.0,0.0,315.42254315580976,198.07738950712738,59.666666666666664,10
occlusion,相机遮挡,50,%,70.0,30.0,0.0,303.75904625054227,165.99299037465676,80.85714285714286,10
occlusion,相机遮挡,75,%,70.0,30.0,0.0,340.7937915532108,188.6368858247797,58.857142857142854,10
occlusion,相机遮挡,90,%,60.0,40.0,0.0,313.15059511191504,221.04542163825377,60.5,10
depth_scale,深度尺度偏差,1.0,×,60.0,40.0,0.0,316.6924690270429,199.36303490739854,58.833333333333336,10
depth_scale,深度尺度偏差,0.75,×,60.0,40.0,0.0,319.3816021060985,198.1410056917812,58.5,10
depth_scale,深度尺度偏差,0.5,×,50.0,50.0,0.0,288.82268891561534,199.53934582916654,60.0,10
depth_scale,深度尺度偏差,0.25,×,10.0,60.0,30.0,-332.93117331639917,733.5728853423857,84.0,10
depth_scale,深度尺度偏差,0.1,×,10.0,70.0,20.0,-224.44158683952233,736.7130382564818,86.0,10
combined,组合退化,0.0,severity,60.0,40.0,0.0,316.6924690270429,199.36303490739854,58.833333333333336,10
combined,组合退化,0.25,severity,60.0,40.0,0.0,320.5877979210151,197.98200589124602,58.5,10
combined,组合退化,0.5,severity,30.0,70.0,0.0,207.90597908610215,223.9280428733205,63.333333333333336,10
combined,组合退化,0.75,severity,30.0,70.0,0.0,206.84922126102396,223.06710796918355,63.666666666666664,10
combined,组合退化,1.0,severity,40.0,60.0,0.0,246.85207135569922,226.54906879202366,64.25,10
