axis,axis_name,level,unit,success_rate,collision_rate,timeout_rate,avg_reward,reward_std,avg_steps,episodes
gaussian,高斯球稀疏化,100,%,52.0,48.0,0.0,89.47664220746124,129.35649622872074,26.346153846153847,50
gaussian,高斯球稀疏化,50,%,46.0,54.0,0.0,74.36054640997754,130.43133327668622,26.47826086956522,50
gaussian,高斯球稀疏化,20,%,40.0,60.0,0.0,58.722190719251806,125.21962891947922,25.5,50
gaussian,高斯球稀疏化,5,%,36.0,64.0,0.0,44.05437139175992,121.12389381926158,25.5,50
gaussian,高斯球稀疏化,2,%,24.0,76.0,0.0,0.7132443988266676,112.1202328794021,28.583333333333332,50
resolution,渲染分辨率,64,px,52.0,48.0,0.0,89.47664220746124,129.35649622872074,26.346153846153847,50
resolution,渲染分辨率,32,px,50.0,50.0,0.0,86.32681490540382,129.17069943869524,26.32,50
resolution,渲染分辨率,16,px,46.0,54.0,0.0,76.19936578896072,129.57877090612178,26.608695652173914,50
resolution,渲染分辨率,8,px,44.0,56.00000000000001,0.0,67.43011906480712,125.29829965278769,27.045454545454547,50
resolution,渲染分辨率,2,px,38.0,62.0,0.0,54.77624505932354,122.39861992171913,25.42105263157895,50
depth_noise,深度噪声,0.0,σ,52.0,48.0,0.0,89.47664220746124,129.35649622872074,26.346153846153847,50
depth_noise,深度噪声,0.1,σ,50.0,50.0,0.0,85.00139599313984,127.077671593411,25.8,50
depth_noise,深度噪声,0.25,σ,48.0,52.0,0.0,77.76955797291008,127.89251058071362,25.541666666666668,50
depth_noise,深度噪声,0.5,σ,52.0,48.0,0.0,87.86817357857416,130.09119171539888,26.346153846153847,50
depth_noise,深度噪声,1.0,σ,54.0,44.0,2.0,64.12262945895648,241.48044432284865,29.62962962962963,50
lighting,光照偏移,0,EV,52.0,48.0,0.0,89.47664220746124,129.35649622872074,26.346153846153847,50
lighting,光照偏移,1,EV,52.0,48.0,0.0,89.47664220746124,129.35649622872074,26.346153846153847,50
lighting,光照偏移,2,EV,52.0,48.0,0.0,89.47664220746124,129.35649622872074,26.346153846153847,50
lighting,光照偏移,3,EV,52.0,48.0,0.0,89.47664220746124,129.35649622872074,26.346153846153847,50
lighting,光照偏移,4,EV,52.0,48.0,0.0,89.47664220746124,129.35649622872074,26.346153846153847,50
viewpoint_uncertainty,视角不确定性,360,°,52.0,48.0,0.0,89.47664220746124,129.35649622872074,26.346153846153847,50
viewpoint_uncertainty,视角不确定性,270,°,50.0,50.0,0.0,83.99377956531103,128.53858473746766,25.56,50
viewpoint_uncertainty,视角不确定性,180,°,48.0,52.0,0.0,74.5854083092412,126.949375423977,28.458333333333332,50
viewpoint_uncertainty,视角不确定性,90,°,30.0,66.0,4.0,-41.87110435018415,330.4950680235905,33.13333333333333,50
viewpoint_uncertainty,视角不确定性,45,°,14.000000000000002,78.0,8.0,-170.3403828041771,509.80775079084174,37.857142857142854,50
depth_failure,深度大面积失效,0,%,52.0,48.0,0.0,89.47664220746124,129.35649622872074,26.346153846153847,50
depth_failure,深度大面积失效,25,%,0.0,98.0,2.0,-158.55868791600884,452.6550059427992,0.0,50
depth_failure,深度大面积失效,50,%,0.0,100.0,0.0,-97.1840068429727,51.4978728135371,0.0,50
depth_failure,深度大面积失效,75,%,0.0,100.0,0.0,-107.72751584034675,49.85704301355677,0.0,50
depth_failure,深度大面积失效,90,%,0.0,100.0,0.0,-97.4564078764525,37.92717642607432,0.0,50
occlusion,相机遮挡,0,%,52.0,48.0,0.0,89.47664220746124,129.35649622872074,26.346153846153847,50
occlusion,相机遮挡,25,%,0.0,100.0,0.0,-73.58418154770163,15.567259402013727,0.0,50
occlusion,相机遮挡,50,%,0.0,98.0,2.0,-118.63211259511796,323.55824634734773,0.0,50
occlusion,相机遮挡,75,%,0.0,96.0,4.0,-202.53549142563145,567.7235800987216,0.0,50
occlusion,相机遮挡,90,%,0.0,96.0,4.0,-224.9919680022449,677.2707845317217,0.0,50
depth_scale,深度尺度偏差,1.0,×,52.0,48.0,0.0,89.47664220746124,129.35649622872074,26.346153846153847,50
depth_scale,深度尺度偏差,0.75,×,52.0,48.0,0.0,87.40063724816292,128.50136547735983,26.115384615384617,50
depth_scale,深度尺度偏差,0.5,×,40.0,60.0,0.0,49.6596967043256,120.21580114384099,30.85,50
depth_scale,深度尺度偏差,0.25,×,4.0,94.0,2.0,-100.80528590608596,291.2701534397839,42.5,50
depth_scale,深度尺度偏差,0.1,×,0.0,90.0,10.0,-405.84293626378303,959.8613607870363,0.0,50
combined,组合退化,0.0,severity,52.0,48.0,0.0,89.47664220746124,129.35649622872074,26.346153846153847,50
combined,组合退化,0.25,severity,0.0,92.0,8.0,-228.9207673211748,568.2927268855076,0.0,50
combined,组合退化,0.5,severity,16.0,72.0,12.0,-189.74190166783103,530.7543372549526,29.75,50
combined,组合退化,0.75,severity,28.000000000000004,72.0,0.0,23.775792586145,112.7077343717784,25.142857142857142,50
combined,组合退化,1.0,severity,30.0,66.0,4.0,-40.01123652347721,347.3491536801841,25.866666666666667,50
