axis,level,success_rate,ci95_low,ci95_high,axis_name,unit,episodes,collision_rate
gaussian,100,50.0,36.6,63.4,高斯球稀疏化,%,50,50.0
gaussian,50,48.0,34.8,61.5,高斯球稀疏化,%,50,52.0
gaussian,20,44.0,31.2,57.7,高斯球稀疏化,%,50,56.00000000000001
gaussian,5,46.0,33.0,59.6,高斯球稀疏化,%,50,54.0
gaussian,2,34.0,22.4,47.8,高斯球稀疏化,%,50,66.0
resolution,64,50.0,36.6,63.4,渲染分辨率,px,50,50.0
resolution,32,60.0,46.2,72.4,渲染分辨率,px,50,40.0
resolution,16,57.99999999999999,44.2,70.6,渲染分辨率,px,50,42.0
resolution,8,42.0,29.4,55.8,渲染分辨率,px,50,57.99999999999999
resolution,2,40.0,27.6,53.8,渲染分辨率,px,50,60.0
depth_noise,0.0,50.0,36.6,63.4,深度噪声,σ,50,50.0
depth_noise,0.1,50.0,36.6,63.4,深度噪声,σ,50,50.0
depth_noise,0.25,50.0,36.6,63.4,深度噪声,σ,50,50.0
depth_noise,0.5,48.0,34.8,61.5,深度噪声,σ,50,52.0
depth_noise,1.0,48.0,34.8,61.5,深度噪声,σ,50,52.0
lighting,0,50.0,36.6,63.4,光照偏移,EV,50,50.0
lighting,1,50.0,36.6,63.4,光照偏移,EV,50,50.0
lighting,2,50.0,36.6,63.4,光照偏移,EV,50,50.0
lighting,3,50.0,36.6,63.4,光照偏移,EV,50,50.0
lighting,4,50.0,36.6,63.4,光照偏移,EV,50,50.0
viewpoint_uncertainty,360,50.0,36.6,63.4,视角不确定性,°,50,50.0
viewpoint_uncertainty,270,50.0,36.6,63.4,视角不确定性,°,50,50.0
viewpoint_uncertainty,180,48.0,34.8,61.5,视角不确定性,°,50,52.0
viewpoint_uncertainty,90,32.0,20.8,45.8,视角不确定性,°,50,68.0
viewpoint_uncertainty,45,18.0,9.8,30.8,视角不确定性,°,50,82.0
