axis,level,success_rate,ci95_low,ci95_high,axis_name,unit,episodes,collision_rate
gaussian,100,52.0,38.5,65.2,高斯球稀疏化,%,50,48.0
gaussian,50,44.0,31.2,57.7,高斯球稀疏化,%,50,56.00000000000001
gaussian,20,52.0,38.5,65.2,高斯球稀疏化,%,50,48.0
gaussian,5,36.0,24.1,49.9,高斯球稀疏化,%,50,64.0
gaussian,2,32.0,20.8,45.8,高斯球稀疏化,%,50,68.0
resolution,64,52.0,38.5,65.2,渲染分辨率,px,50,48.0
resolution,32,46.0,33.0,59.6,渲染分辨率,px,50,54.0
resolution,16,46.0,33.0,59.6,渲染分辨率,px,50,54.0
resolution,8,48.0,34.8,61.5,渲染分辨率,px,50,52.0
resolution,2,50.0,36.6,63.4,渲染分辨率,px,50,50.0
depth_noise,0.0,52.0,38.5,65.2,深度噪声,σ,50,48.0
depth_noise,0.1,52.0,38.5,65.2,深度噪声,σ,50,48.0
depth_noise,0.25,56.00000000000001,42.3,68.8,深度噪声,σ,50,44.0
depth_noise,0.5,50.0,36.6,63.4,深度噪声,σ,50,50.0
depth_noise,1.0,52.0,38.5,65.2,深度噪声,σ,50,48.0
lighting,0,52.0,38.5,65.2,光照偏移,EV,50,48.0
lighting,1,52.0,38.5,65.2,光照偏移,EV,50,48.0
lighting,2,52.0,38.5,65.2,光照偏移,EV,50,48.0
lighting,3,52.0,38.5,65.2,光照偏移,EV,50,48.0
lighting,4,52.0,38.5,65.2,光照偏移,EV,50,48.0
viewpoint_uncertainty,360,52.0,38.5,65.2,视角不确定性,°,50,48.0
viewpoint_uncertainty,270,52.0,38.5,65.2,视角不确定性,°,50,48.0
viewpoint_uncertainty,180,56.00000000000001,42.3,68.8,视角不确定性,°,50,44.0
viewpoint_uncertainty,90,48.0,34.8,61.5,视角不确定性,°,50,52.0
viewpoint_uncertainty,45,54.0,40.4,67.0,视角不确定性,°,50,46.0
